id;order_id;reference_id;order_type;order_status;order_date;channel;subtotal;has_shipping_charges;shipping;has_giftwrap_charges;giftwrap;has_transaction_charges;transaction;has_discount;discount;weight;weight_charges;excess_weight_charges;total_freight_charges;length;width;height;reseller_name;gstin;courier;awb;manifest_id
1;portal reboot;holistic Peso Handcrafted;ReturnOrder;Return;2021-03-29T02:43:10;Keys online;61547;true;29939;false;87953;true;36148;true;1403;87119;47168;59476;40656;3682;37759;40818;Legacy Account;Creek hack Path;Finland Small generate;web-enabled Oro Awesome;Bedfordshire
2;hub transitional;Brand;ReturnOrder;ReadyToShip;2021-03-28T19:27:48;protocol programming Cambridgeshire;15935;false;18190;false;61507;true;73833;true;68075;82880;54652;1194;17360;87462;1136;41714;generate Auto;Granite payment;quantifying Internal Wooden;Specialist;visionary Ball Executive
3;Cambridgeshire;Ergonomic client-server pink;ForwardOrder;ReadyToShip;2021-03-28T20:01:57;red;52070;false;62368;false;89198;false;19737;true;3124;98406;99239;83272;20391;63683;69634;92559;Utah bypassing;Assistant Mexico;solid;firmware Communications;Computers
4;Tasty;payment virtual;ForwardOrder;Return;2021-03-28T17:08:57;Division;64670;false;17092;false;21293;false;55896;true;29366;54470;62830;60850;24036;91934;27378;7168;of Awesome withdrawal;Engineer pixel improvement;Berkshire COM Shirt;Steel Guyana;Officer
5;Avon generate Metal;Solomon Home;ForwardOrder;Processing;2021-03-28T18:22:43;schemas Borders;93713;false;4749;true;4740;false;25281;false;74067;63760;30503;13350;49351;39703;63900;51249;Colorado bypassing Account;wireless;New fuchsia;system schemas;Wooden
6;Metal navigating;Unbranded Fresh invoice;ForwardOrder;Return;2021-03-29T12:34:12;bleeding-edge Cheese Sports;94647;true;49081;true;27577;true;37494;true;56157;5938;65611;32919;60637;201;59673;10770;Coordinator Avon Bedfordshire;Specialist Nigeria;Federation;Nebraska Concrete visionary;Leone Security Gorgeous
7;Health;Liaison;ReturnOrder;Return;2021-03-29T05:38:53;paradigms Carolina challenge;50095;true;92572;false;39947;true;66213;true;62548;1833;45093;81425;24461;48226;73212;22872;Cambridgeshire;Nicaragua Georgia;cross-platform Program;reboot Legacy compressing;Engineer
8;tolerance Auto;monitor;ReturnOrder;ReadyToShip;2021-03-29T13:00:01;Implementation;65814;false;85243;true;15130;false;57776;true;59808;68297;28810;67076;44076;78107;15751;71059;Practical Avon pixel;RAM Virginia Grass-roots;Vanuatu;program European tangible;wireless Re-engineered
9;Configurable Executive Assurance;Usability morph Digitized;ForwardOrder;ReadyToShip;2021-03-29T05:11:36;Inlet Albania;29760;false;49638;false;23774;true;6401;false;22809;10078;97149;99210;74655;94297;46725;9602;Bacon;Enhanced Metal mobile;bypass generate;Metal up;Future-proofed
10;Serbian;Designer Facilitator mission-critical;ReturnOrder;ReadyToShip;2021-03-29T01:39:02;functionalities;11996;false;74020;true;23526;false;62007;true;2856;33232;81652;49587;71814;92402;58241;3185;Checking Chips;calculate Virtual bandwidth;functionalities;Facilitator;application
