id;pin;city;state;country
1;JSON;Lake Gunnar;New purple;Greenland
2;Bedfordshire Bedfordshire 1080p;Windlertown;parsing;Palau
3;Uganda customized;Marlenshire;Frozen Arkansas CSS;Peru
4;Chicken engage;New Laisha;Plastic Polarised Djibouti;Bhutan
5;Sao haptic;South Magdalen;Fresh;Kyrgyz Republic
6;Dynamic PNG Dominican;Lake Loganborough;backing Chicken;Mali
7;Licensed Rubber;North Marleyton;Bedfordshire;Panama
8;Fantastic;Franciscoview;open-source Central Handmade;Antarctica (the territory South of 60 deg S)
9;Sports;Haleymouth;Practical Borders infomediaries;Congo
10;Berkshire Portugal Small;North Chasefort;zero;Haiti
