id;name;sku;quantity;unit_price;tax_rate;hsn;discount
1;Steel;Assistant;57374;81236;38757;Principal;35091
2;wireless Handmade;Dynamic Pound withdrawal;88209;64964;8294;Centers Metal navigating;57853
3;Incredible Korea;compressing withdrawal green;70316;51217;18327;Lao;29161
4;Small digital Oklahoma;orange Practical;80588;95487;35518;Dynamic Sports;86396
5;Personal Steel;solutions;27331;47574;66238;Rubber Chips;22423
6;Shoes;Ball pixel;28408;60076;78380;Renminbi rich South;90340
7;project hacking efficient;mobile metrics;95618;19864;94541;application grey solution;91780
8;systems Gorgeous;Brand;64809;12655;27583;Cambridgeshire Chair;31837
9;Operations Chicken;Usability multi-byte;34414;1352;62245;IB;52857
10;Industrial Concrete;Pants bypassing Chief;26258;54007;92380;online Home Vista;51362
