id;status;pincode;location
1;engineer;Account;port Re-contextualized bypassing
2;pink Electronics Croatia;JBOD networks functionalities;Steel grey bottom-line
3;Account;Berkshire primary Pizza;multi-byte orchid Refined
4;Omani SQL FTP;online Tools;feed
5;Assurance;Towels Tanzania Market;Fresh Communications integrated
6;IB;redefine;Strategist Brand
7;Tasty;Credit Romania Hollow;JSON end-to-end
8;New black 24/365;Ball SAS;initiative
9;Account definition Senior;Account Car;Handmade
10;firewall;Small;Cambridgeshire magnetic Coves
