id;category;credit;debit;final_balance;description;transaction_type
1;Kentucky;7182;9490;25397;Divide COM;Shipping
2;B2B;83454;94362;51662;orchestrate Estates invoice;OnHold
3;internet;73402;99633;99586;embrace;Recharge
4;Checking;97190;9801;3216;Caledonia connecting Executive;Recharge
5;compressing e-tailers;98576;66143;36496;incentivize high-level Industrial;Shipping
6;cross-platform;25939;3004;37920;primary;OnHold
7;Pizza Facilitator;39480;54845;66039;Ergonomic innovate;Recharge
8;Fish Island;79154;84505;52956;BEAC;Recharge
9;Clothing full-range;91887;63813;83746;Soap;Shipping
10;Corporate Forward;50994;43357;71555;optical Avon;OnHold
